Symbol,Name
ACC,ACC
ADANIPORTS,ADANIPORTS
AMBUJACEM,AMBUJACEM
ASIANPAINT,ASIANPAINT
AUROPHARMA,AUROPHARMA
AXISBANK,AXISBANK
BAJAJAUTO,BAJAJAUTO
BANKBARODA,BANKBARODA
BHARTIARTL,BHARTIARTL
BHEL,BHEL
BOSCHLTD,BOSCHLTD
BPCL,BPCL
CIPLA,CIPLA
COALINDIA,COALINDIA
DRREDDY,DRREDDY
EICHERMOT,EICHERMOT
GAIL,GAIL
GRASIM,GRASIM
HCLTECH,HCLTECH
HDFC,HDFC
HDFCBANK,HDFCBANK
HEROMOTOCO,HEROMOTOCO
HINDALCO,HINDALCO
HINDUNILVR,HINDUNILVR
ICICIBANK,ICICIBANK
IDEA,IDEA
INDUSINDBK,INDUSINDBK
INFRATEL,INFRATEL
INFY,INFY
ITC,ITC
KOTAKBANK,KOTAKBANK
LT,LT
LUPIN,LUPIN
M&M,M&M
MARUTI,MARUTI
NTPC,NTPC
ONGC,ONGC
POWERGRID,POWERGRID
RELIANCE,RELIANCE
SBIN,SBIN
SUNPHARMA,SUNPHARMA
TATAMOTORS,TATAMOTORS
TATAPOWER,TATAPOWER
TATASTEEL,TATASTEEL
TCS,TCS
TECHM,TECHM
ULTRACEMCO,ULTRACEMCO
WIPRO,WIPRO
YESBANK,YESBANK
ZEEL,ZEEL
