Symbol,Name
ABX.TO,Barrick Gold
AEM.TO,Agnico-Eagle Mines
AGU.TO,Agrium
BCE.TO,BCE
BMO.TO,Bk Of Montreal
BNS.TO,Bk of Nova Scotia
BPO.TO,Brookf Office REIT
CCO.TO,Cameco
CCT.TO,Catamaran
CM.TO,Cdn Imperial Bank
CNQ.TO,Cdn Natural Res
CNR.TO,Canadian Natl Rlwy
COS.TO,Cdn Oil Sands
CP.TO,CDN Pacific Railway
CPG.TO,Crescent Pt Egy
CVE.TO,Cenovus Energy
ECA.TO,EnCana
ELD.TO,Eldorado Gold
ENB.TO,Enbridge
FFH.TO,Fairfax Finl Hldg
FM.TO,1st Quantum Minls
G.TO,Goldcorp
GWO.TO,Great-West Lifeco
HSE.TO,Husky Energy
IFC.TO,Intact Financial
IGM.TO,IGM Financial
IMO.TO,Imperial Oil
K.TO,Kinross Gold
L.TO,Loblaw Cos
MEG.TO,MEG Energy
MFC.TO,Manulife Financial
MG.TO,Magna Intl
NAN.TO,Natl Bk Canada
POT.TO,Potash Saskatchewan
POW.TO,Power Corp Cda SV
PPL.TO,Pembina Pipeline
PWF.TO,Power Fin
RCI/B.TO,Rogers Comm -B-
REI/UN.TO,Riocan Reit
RY.TO,Royal Bank Canada
SAP.TO,Saputo
SC.TO,Shoppers Drug Mart
SJR/B.TO,Shaw Comm Nv-B
SLF.TO,Sun Life Financial
SLW.TO,Silver Wheaton
SU.TO,Suncor Energy
T.TO,Telus
T/A.TO,TELUS NON-VTG
TCK/B.TO,Teck Resources-B
TD.TO,Toronto-Dominion Bk
THI.TO,Tim Hortons
TLM.TO,Talisman Energy
TRI.TO,Thomson Reuters
TRP.TO,Transcanada
TRQ.TO,Turquoise Hill Res
VRX.TO,Valeant Pharma Intl
WN.TO,George Weston
YRI.TO,Yamana Gold
