Symbol,Name
MDI.TO,Maj Drill Grp In Rg
MEG.TO,MEG Energy Rg
MFC.TO,Manulife Financi Rg
MFI.TO,Maple Leaf Foods Rg
MG.TO,Magna Intl Rg
MIC.TO,Genworth MI Cana Rg
MKP.TO,Mcan Mortgage Rg
MPVD.TO,Mountain Prov Di Rg
MRC.TO,Morguard Rg
MRE.TO,Martinrea Intl Rg
MRT.UN.TO,Morguard Rl Est Tr
MRU.TO,Metro Rg
MSI.TO,Morneau Shephell Rg
MTL.TO,Mullen Group Rg
MX.TO,Methanex Rg
NAN.TO,Natl Bk Canada Rg
NFI.TO,New Flyer Rg
NG.TO,Novagold Resourc Rg
NGD.TO,New Gold Rg
NPI.TO,Northland Pwr Rg
NSU.TO,Nevsun Resources Rg
NVA.TO,NuVista Energy Rg
NVU.UN.TO,Northview Apartment
NWC.TO,North Ws Vr&CVtg Rg
NWH.UN.TO,Northwest Hlth TU
OBE.TO,Obsidian Energy Rg
OGC.TO,OceanaGold Rg
ONEX.TO,Onex Corp
OR.TO,Osisko GoldRoyal Rg
OSB.TO,Norbord Rg
OTEX.TO,Open Text Rg
PAAS.TO,Pan Amer Silver Rg
PBH.TO,Premium Brands Rg
PD.TO,Precision Drilli Rg
PEY.TO,Peyto Expl & Dev Rg
PG.TO,Premier Gold Min Rg
PGF.TO,Pengrowth Egy Rg
PKI.TO,Parkland Fuel Rg
POU.TO,Paramount Res-A
POW.TO,Power Corp Cda SV
PPL.TO,Pembina Pipeline Rg
PSI.TO,Pason Systems Rg
PSK.TO,PrairieSky Rg
PVG.TO,Pretium Res Rg
PWF.TO,Power Fin Rg
PXT.TO,Parex Res Rg
PXX.TO,BlackPearl Res Rg
PZA.TO,Pizza Pizza Roya Rg
QBR.B.TO,Quebecor Inc  -B-
QSR.TO,Restaurant Brand Rg
QTRH.TO,Quarterhill Rg
RBA.TO,Ritchie Bro Auct Rg
RCH.TO,Richelieu Hardwa Rg
RCI.B.TO,Rogers Comm -B-
REI.UN.TO,Riocan Reit
RET.A.TO,Reitmans Canada-A
RRX.TO,Raging Riv Exp Rg
RSI.TO,Rogers Sugar Rg
RUS.TO,Russel Metals Rg
RY.TO,Royal Bank Canad Rg
S.TO,Sherritt Intl Rg
SAP.TO,Saputo Rg
SCL.TO,Shawcor Rg
SEA.TO,Seabridge Gold Rg
SES.TO,Secure Egy Svcs Rg
SGY.TO,Surge Energy Rg
SHOP.TO,Shopify SVtg Rg-A
SIA.TO,Sienna Senior Li Rg
SII.TO,Sprott Rg
SJ.TO,Stella Jones Rg
SJR.B.TO,Shaw Comm Nv-B
SLF.TO,Sun Life Financi Rg
SMF.TO,Semafo Rg
SNC.TO,SNC-Lavalin Rg
SOY.TO,SunOpta Rg
SPB.TO,Superior Plus Rg
SRU.UN.TO,SmrtCn REIT Var Vtg
SSL.TO,Sandstorm Gold Rg
SSRM.TO,SSR Mining Rg
STEP.TO,STEP Enrgy Srvcs Rg
STN.TO,Stantec Rg
SU.TO,Suncor Energy Rg
SW.TO,Sierra Wireless Rg
T.TO,Telus Rg
TA.TO,TransAlta Rg
TCL.A.TO,Transcontinental -A
TCW.TO,Trican Well Svc Rg
TD.TO,Toronto-Dominion Rg
TDG.TO,Trinidad Drillin Rg
TECK.B.TO,Teck Resources Rg-B
TFII.TO,TFI Internation Rg
THO.TO,Tahoe Res Rg
TIH.TO,Toromont Industr Rg
TOG.TO,TORC Oil&Gas Rg
TOT.TO,Total Energy Rg
TOU.TO,Tourmaline Oil Rg
TPX.B.TO,Molson Exch-B
TRI.TO,Thomson Reuters Rg
TRP.TO,Transcanada Rg
TRQ.TO,Turquoise Hill R Rg
TRZ.TO,Transat A.T.
TSGI.TO,The Stars Group Rg
TXG.TO,Torex Gold Resou Rg
U.TO,Uranium Partn Rg
UNS.TO,Uni-Select Rg
VET.TO,Vermilion Egy Rg
VII.TO,Seven Gens Rg-A
VNR.TO,Valener Rg
VRX.TO,Valeant Pharma I Rg
WCN.TO,Waste Connection Rg
WCP.TO,Whitecap Res Rg
WFT.TO,West Fraser Timb Rg
WJA.TO,WestJet Air Vr&CVtg
WJX.TO,Wajax Rg
WN.TO,George Weston Rg
WPK.TO,Winpak Ltd Rg
WPM.TO,Wheaton Precious Rg
WPRT.TO,Westport Fuel Sy Rg
WSP.TO,WSP Global Rg
WTE.TO,Westshore Term Rg
X.TO,TMX Group Ltd
YRI.TO,Yamana Gold Rg
