Symbol,Name
ABX.TO,Barrick Gold
AEM.TO,Agnico Eagle Mines
ATD.B.TO,Aliment Couche -B
BAM.A.TO,Brookfield LVtg-A
BCE.TO,BCE
BMO.TO,Bk Of Montreal
BNS.TO,Bk of Nova Scotia
CM.TO,Cdn Imperial Bank
CNQ.TO,Cdn Natural Res
CNR.TO,Canadian Natl Rlwy
CP.TO,CDN Pacific Railway
CVE.TO,Cenovus Energy
ENB.TO,Enbridge
FFH.TO,Fairfax Finl Hldg
FNV.TO,Franco-Nevada
G.TO,Goldcorp
GIB.A.TO,CGI Group -A
GWO.TO,Great-West Lifeco
HSE.TO,Husky Energy
IMO.TO,Imperial Oil
L.TO,Loblaw Cos
MFC.TO,Manulife Financial
MG.TO,Magna Intl
NAN.TO,Natl Bk Canada
POT.TO,Potash Saskatchewan
PPL.TO,Pembina Pipeline
PWF.TO,Power Fin
QSR.TO,Restaurant Brands
RCI.B.TO,Rogers Comm -B-
RY.TO,Royal Bank Canada
SAP.TO,Saputo
SLF.TO,Sun Life Financial
SLW.TO,Silver Wheaton
SU.TO,Suncor Energy
T.TO,Telus
TD.TO,Toronto-Dominion Bk
TRI.TO,Thomson Reuters
TRP.TO,Transcanada
WCN.TO,Waste Connections
WN.TO,George Weston
