Symbol,Name
STNE.SA,STONECO LTD CL A CMN
SULA11.SA,Sul America CDA N2
SUZB3.SA,Suzano Rg
TAEE11.SA,Tran Alianca CDA N2
TASA4.SA,Taurus Armas Pfd Rg
TEND3.SA,Tenda Rg
TGMA3.SA,Tegma Gestao NM Rg
TIMS3.SA,TIM Rg
TOTS3.SA,Totvs NM Rg
TRIS3.SA,Trisul NM Rg
TRPL4.SA,Tran Paulist Pfd Rg
TTEN3.SA,TRES TENTOS RG
TUPY3.SA,Tupy NM Rg
UGPA3.SA,Ultrapar NM Rg
UNIP6.SA,Unipar Vz N-B
USIM5.SA,Usiminas Pfd Rg-A
VALE3.SA,Vale N1
VBBR3.SA,Vibra Rg
VIIA3.SA,Via Rg
VINP.SA,VINCI PARTNRS CM A
VIVA3.SA,Vivara Particip Rg
VIVT3.SA,Telefonica Br Rg
VULC3.SA,Vulcabras - azaleia
VVEO3.SA,CM HOSPITALAR RG
WEGE3.SA,Weg NM Rg
WIZS3.SA,Wiz Solucoes Rg
YDUQ3.SA,YDUQS Particip Rg
