Symbol,Name
AAV.TO,Advantage Oil Rg
ABST.TO,Absolute Softwar Rg
ABX.TO,Barrick Gold Rg
AC.TO,Air Canada Vtg
ACB.TO,Aurora Cannabis Rg
ACO.X.TO,Atco Non Vtg Rg-I
ACQ.TO,AutoCanada Rg
AD.UN.TO,Alaris Eqty Ptr TU
AEM.TO,Agnico Eagle Min Rg
AFN.TO,AG Growth Intl Rg
AGF.B.TO,Agf Mgmt -B-
AGI.TO,Alamos Gold Rg-A
AIF.TO,Altus Group Rg
AIM.TO,Aimia Rg
ALA.TO,AltaGas Rg
ALS.TO,Altius Minerals Rg
AP.UN.TO,Allied Ppties Tr Ut
APHA.TO,Aphria Rg
AQN.TO,Alg Pwr & Util Rg
AR.TO,Argonaut Gold Rg
ARE.TO,Aecon Group Rg
ARX.TO,ARC Res Rg
ATA.TO,ATS Automation T Rg
ATCO.TO,ATLAS CORP.
ATD.B.TO,Aliment Couche -B
ATZ.TO,Aritzia Sub Vtg
AW.UN.TO,A&W Revenue Fd Uts
AX.UN.TO,Artis REIT- TU
BAD.TO,Badger Daylight Rg
BAM.A.TO,Brookfield LVtgRg-A
BB.TO,Blackberry Rg
BBD.B.TO,Bombardier SV Rg-B
BCE.TO,BCE Rg
BDT.TO,Bird Constructio Rg
BEI.UN.TO,Boardwalk REIT TU
BHC.TO,Bausch Health Rg
BIPC.TO,Brookfld Rg-A-SV
BIR.TO,Birchcliff Energ Rg
BLDP.TO,Ballard Power Sy Rg
BLX.TO,Boralex Rg-A
BMO.TO,Bk Of Montreal Rg
BNS.TO,Bk of Nova Scoti Rg
BTE.TO,Baytex Egy Rg
BTO.TO,B2Gold Rg
BYD.TO,Boyd Group Svc Rg
CAE.TO,CAE Rg
CAR.UN.TO,Cdn Apt Ppty TU
CAS.TO,Cascades Rg
CCA.TO,Cogeco Communica Rg
CCL.B.TO,CCL In Non Vtg-B Rg
CCO.TO,Cameco Rg
CEU.TO,CES Energy Soltn Rg
CF.TO,Canaccord Genuit Rg
CFP.TO,Canfor Corp Rg
CFX.TO,Canfor Pulp
CG.TO,Centerra Gold Rg
CGG.TO,China Gold Intl Rg
CGO.TO,Cogeco
CHE.UN.TO,Chemtrade Logistics
CHP.UN.TO,Choice Prop REIT
CHR.TO,Chorus Aviat V&VVtg
CIGI.TO,Colliers Int Grp SV
CIX.TO,CI Financial Rg
CJR.B.TO,Corus Ent NVtg-B
CJT.TO,Cargojet Var Vtg Rg
CLS.TO,Celestica SVTG
CM.TO,Cdn Imperial Ban Rg
CMG.TO,Computer Modelli Rg
CNE.TO,Canacol Energy Rg
CNQ.TO,Cdn Natural Res Rg
CNR.TO,Canadian Natl Rl Rg
CP.TO,CDN Pacific Rail Rg
CPG.TO,Crescent Pt Egy Rg
CPX.TO,Capital Power Rg
CRON.TO,Cronos Group Rg
CRR.UN.TO,Cromb REIT TU
CRT.UN.TO,CT REIT TU
CS.TO,Capstone Mining Rg
CSH.UN.TO,Chart Retir TU
CSIQ.TO,CANADIAN SOLAR INC.
CSU.TO,Constellation So Rg
CTC.A.TO,Cdn Tire Corp -A-
CU.TO,Cdn Utilit-A-NVtg
CUF.UN.TO,Cominar Estate Tr
CVE.TO,Cenovus Energy Rg
CWB.TO,Canadian Western Rg
CWEB.TO,Charlotte Rg-Unty
D.UN.TO,Dream Off REIT Rg-A
DIR.UN.TO,Dream Indl REIT TU
DML.TO,Denison Mines Rg
DOL.TO,Dollarama Rg
DOO.TO,BRP SVTG
DPM.TO,Dundee Precious  Rg
DRM.TO,DREAM Rg-A-SV
DSG.TO,The Descartes Sy Rg
ECN.TO,ECN Capital Rg
EDR.TO,Endeavour Silver Rg
EDV.TO,Endeavour Mining Rg
EFN.TO,Elemnt Fleet Mng Rg
EFX.TO,Enerflex Rg
EIF.TO,Exchange Income Rg
ELD.TO,Eldorado Gold Rg
ELF.TO,El Finl Rg
EMA.TO,Emera Rg
EMP.A.TO,Empire NonVtg Rg-A
ENB.TO,Enbridge Rg
ENGH.TO,Enghouse Systems Rg
EQB.TO,Equitable Group Rg
ERF.TO,Enerplus Rg
ERO.TO,Ero Copper Rg
ET.TO,Evertz Technolog Rg
EXE.TO,Extendicare Rg
FC.TO,Firm Capital Mtg Rg
FCR.UN.TO,First Cap REIT-TU
FFH.TO,Fairfax Finl Hldg
FM.TO,1st Quantum Minl Rg
FN.TO,First National F Rg
FNV.TO,Franco-Nevada Rg
FR.TO,First Majestic S Rg
FRU.TO,Freehold Royalti Rg
FSV.TO,FirstService Rg
FSZ.TO,Fiera Cap SVtg Rg-A
FTS.TO,Fortis Rg
FTT.TO,Finning Intl Rg
FVI.TO,Fortuna Silver Rg
GC.TO,Great CDN Gaming Rg
GEI.TO,Gibson Energy Rg
GIB.A.TO,CGI Rg SV-A
GIL.TO,Gildan Activewea Rg
GOOS.TO,Canada Goose SV Rg
GRT.UN.TO,Granit REIT Stp Uts
GSY.TO,goeasy Rg
GUD.TO,Knight Therapeut Rg
GWO.TO,Great-West Lifec Rg
H.TO,Hydro One Rg
HBM.TO,Hudbay Minerals Rg
HCG.TO,Home Capital Gro Rg
HEXO.TO,HEXO Rg
HR.UN.TO,H&R REIT-TU
HRX.TO,Heroux-Devtek Rg
IAG.TO,Ind Alliance Ins Rg
IFC.TO,Intact Financial Rg
IFP.TO,Interfor Rg
